https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1699470000000,2023-11-08 19:00:00,LRC/USD,0.22222,0.22573,0.22222,0.22571,3218.050157,726.3461009364701
1699466400000,2023-11-08 18:00:00,LRC/USD,0.22564,0.22564,0.22207,0.22222,86.358306,19.19054275932
1699462800000,2023-11-08 17:00:00,LRC/USD,0.2223,0.22564,0.2223,0.22564,868.231712,195.90780349568
1699459200000,2023-11-08 16:00:00,LRC/USD,0.2223,0.2223,0.2223,0.2223,0.0,0.0
1699455600000,2023-11-08 15:00:00,LRC/USD,0.22905,0.22905,0.21526,0.2223,5784.989529,1286.0031722967
1699452000000,2023-11-08 14:00:00,LRC/USD,0.22304,0.22905,0.22304,0.22905,102.128583,23.392551936150003
1699448400000,2023-11-08 13:00:00,LRC/USD,0.22304,0.22304,0.22304,0.22304,0.0,0.0
1699444800000,2023-11-08 12:00:00,LRC/USD,0.22304,0.22304,0.22304,0.22304,0.0,0.0
1699441200000,2023-11-08 11:00:00,LRC/USD,0.22291,0.22856,0.22291,0.22304,934.361038,208.39988591552
1699437600000,2023-11-08 10:00:00,LRC/USD,0.22291,0.22291,0.22291,0.22291,0.0,0.0
1699434000000,2023-11-08 09:00:00,LRC/USD,0.22291,0.22291,0.22291,0.22291,0.0,0.0
1699430400000,2023-11-08 08:00:00,LRC/USD,0.22291,0.22291,0.22291,0.22291,0.0,0.0
1699426800000,2023-11-08 07:00:00,LRC/USD,0.22291,0.22291,0.22291,0.22291,0.0,0.0
1699423200000,2023-11-08 06:00:00,LRC/USD,0.22751,0.22751,0.22291,0.22291,83.406132,18.59206088412
1699419600000,2023-11-08 05:00:00,LRC/USD,0.22751,0.22751,0.22751,0.22751,0.0,0.0
1699416000000,2023-11-08 04:00:00,LRC/USD,0.22751,0.22751,0.22751,0.22751,0.0,0.0
1699412400000,2023-11-08 03:00:00,LRC/USD,0.22751,0.22751,0.22751,0.22751,0.0,0.0
1699408800000,2023-11-08 02:00:00,LRC/USD,0.22529,0.22751,0.22529,0.22751,2326.53881,529.3108446630999
1699405200000,2023-11-08 01:00:00,LRC/USD,0.21646,0.22529,0.21646,0.22529,18752.879767,4224.83628270743
1699401600000,2023-11-08 00:00:00,LRC/USD,0.21981,0.22519,0.21646,0.21646,10917.651059,2363.23474823114
1699398000000,2023-11-07 23:00:00,LRC/USD,0.21974,0.21981,0.21974,0.21981,242.652995,53.337554830950005
1699394400000,2023-11-07 22:00:00,LRC/USD,0.21974,0.21974,0.21974,0.21974,0.0,0.0
1699390800000,2023-11-07 21:00:00,LRC/USD,0.22335,0.22335,0.21974,0.21974,1185.638976,260.53230858624
1699387200000,2023-11-07 20:00:00,LRC/USD,0.22335,0.22335,0.22335,0.22335,0.0,0.0
1699383600000,2023-11-07 19:00:00,LRC/USD,0.22335,0.22335,0.22335,0.22335,0.0,0.0
1699380000000,2023-11-07 18:00:00,LRC/USD,0.2208,0.22335,0.21693,0.22335,1794.129339,400.71878786565003
1699376400000,2023-11-07 17:00:00,LRC/USD,0.22256,0.22256,0.21638,0.2208,232.615203,51.3614368224
1699372800000,2023-11-07 16:00:00,LRC/USD,0.22256,0.22256,0.22256,0.22256,0.0,0.0
1699369200000,2023-11-07 15:00:00,LRC/USD,0.21771,0.22472,0.21656,0.22256,3044.760764,677.6419556358401
1699365600000,2023-11-07 14:00:00,LRC/USD,0.22519,0.22519,0.21771,0.21771,455.0,99.05805
1699362000000,2023-11-07 13:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699358400000,2023-11-07 12:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699354800000,2023-11-07 11:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699351200000,2023-11-07 10:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699347600000,2023-11-07 09:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699344000000,2023-11-07 08:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699340400000,2023-11-07 07:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699336800000,2023-11-07 06:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699333200000,2023-11-07 05:00:00,LRC/USD,0.22519,0.22519,0.22519,0.22519,0.0,0.0
1699329600000,2023-11-07 04:00:00,LRC/USD,0.22,0.22519,0.22,0.22519,2676.535572,602.7290454586799
1699326000000,2023-11-07 03:00:00,LRC/USD,0.22145,0.22145,0.22,0.22,125.566025,27.6245255
