https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC,Volume USD
1694689200000,2023-09-14 11:00:00,MATIC/USD,0.51802,0.52048,0.51802,0.51992,5290.192272,2750.47676605824
1694685600000,2023-09-14 10:00:00,MATIC/USD,0.51615,0.51802,0.51615,0.51802,60.766742,31.47838769084
1694682000000,2023-09-14 09:00:00,MATIC/USD,0.51786,0.51805,0.51615,0.51615,70.355054,36.3137611221
1694678400000,2023-09-14 08:00:00,MATIC/USD,0.51836,0.51836,0.5168,0.51786,5199.526017,2692.62654316362
1694674800000,2023-09-14 07:00:00,MATIC/USD,0.51634,0.51896,0.51598,0.51836,518.187677,268.60776424972005
1694671200000,2023-09-14 06:00:00,MATIC/USD,0.51456,0.51634,0.51456,0.51634,233.552404,120.59244828136
1694667600000,2023-09-14 05:00:00,MATIC/USD,0.5154,0.51665,0.51456,0.51456,2102.588742,1081.90806308352
1694664000000,2023-09-14 04:00:00,MATIC/USD,0.51798,0.51884,0.5154,0.5154,1357.423221,699.6159281033999
1694660400000,2023-09-14 03:00:00,MATIC/USD,0.51725,0.51964,0.51725,0.51798,683.559255,354.0700229049
1694656800000,2023-09-14 02:00:00,MATIC/USD,0.51718,0.51824,0.51716,0.51725,3275.237489,1694.11659118525
1694653200000,2023-09-14 01:00:00,MATIC/USD,0.52379,0.525,0.51718,0.51718,6055.472608,3131.76932340544
1694649600000,2023-09-14 00:00:00,MATIC/USD,0.51406,0.52469,0.51399,0.52379,5481.07009,2870.9297024411
1694646000000,2023-09-13 23:00:00,MATIC/USD,0.51395,0.51406,0.51395,0.51406,1933.678752,994.02689925312
1694642400000,2023-09-13 22:00:00,MATIC/USD,0.51367,0.51538,0.51367,0.51395,102.211341,52.53151870695
1694638800000,2023-09-13 21:00:00,MATIC/USD,0.51292,0.51385,0.51292,0.51367,231.064877,118.69109536858998
1694635200000,2023-09-13 20:00:00,MATIC/USD,0.51046,0.51292,0.50874,0.51292,39676.538272,20350.890010474242
1694631600000,2023-09-13 19:00:00,MATIC/USD,0.51018,0.51137,0.5077,0.51046,134029.64805,68416.774143603
1694628000000,2023-09-13 18:00:00,MATIC/USD,0.51064,0.51178,0.50819,0.51018,31437.219005,16038.6403919709
1694624400000,2023-09-13 17:00:00,MATIC/USD,0.51425,0.51507,0.50854,0.51064,26222.805019,13390.413154902159
1694620800000,2023-09-13 16:00:00,MATIC/USD,0.51486,0.51632,0.51373,0.51425,14854.482902,7638.9178323535
1694617200000,2023-09-13 15:00:00,MATIC/USD,0.51377,0.51703,0.51308,0.51486,18356.744024,9451.15322819664
1694613600000,2023-09-13 14:00:00,MATIC/USD,0.51168,0.51377,0.50996,0.51377,5016.123255,2577.13364472135
1694610000000,2023-09-13 13:00:00,MATIC/USD,0.50848,0.5119,0.50848,0.51168,2015.777028,1031.43278968704
1694606400000,2023-09-13 12:00:00,MATIC/USD,0.51472,0.51589,0.50848,0.50848,5261.148022,2675.1885462265604
1694602800000,2023-09-13 11:00:00,MATIC/USD,0.51541,0.51565,0.51465,0.51472,387.318596,199.36062773312
1694599200000,2023-09-13 10:00:00,MATIC/USD,0.51896,0.51896,0.51541,0.51541,288.119662,148.49975499142002
1694595600000,2023-09-13 09:00:00,MATIC/USD,0.51448,0.51896,0.51447,0.51896,702.386324,364.51040670303996
1694592000000,2023-09-13 08:00:00,MATIC/USD,0.50966,0.51448,0.50966,0.51448,244.137917,125.60407553816
1694588400000,2023-09-13 07:00:00,MATIC/USD,0.50801,0.52295,0.50801,0.50966,3838.376761,1956.26710001126
1694584800000,2023-09-13 06:00:00,MATIC/USD,0.50865,0.50865,0.50801,0.50801,17.647289,8.96499928489
1694581200000,2023-09-13 05:00:00,MATIC/USD,0.51073,0.51142,0.50852,0.50865,98.709228,50.208448822200005
