https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USD
1715025600000,2024-05-06 20:00:00,STORJ/USD,0.53323,0.53323,0.53323,0.53323,0.0,0.0
1715022000000,2024-05-06 19:00:00,STORJ/USD,0.53932,0.53932,0.53323,0.53323,401.7746,214.23826995800002
1715018400000,2024-05-06 18:00:00,STORJ/USD,0.53932,0.53932,0.53932,0.53932,0.0,0.0
1715014800000,2024-05-06 17:00:00,STORJ/USD,0.53932,0.53932,0.53932,0.53932,0.0,0.0
1715011200000,2024-05-06 16:00:00,STORJ/USD,0.53932,0.53932,0.53932,0.53932,0.0,0.0
1715007600000,2024-05-06 15:00:00,STORJ/USD,0.53584,0.53932,0.53584,0.53932,290.8,156.834256
1715004000000,2024-05-06 14:00:00,STORJ/USD,0.53233,0.54391,0.53233,0.53584,2411.753807,1292.31415994288
1715000400000,2024-05-06 13:00:00,STORJ/USD,0.53233,0.53233,0.53233,0.53233,0.0,0.0
1714996800000,2024-05-06 12:00:00,STORJ/USD,0.54177,0.54177,0.53233,0.53233,236.038781,125.65052428972999
1714993200000,2024-05-06 11:00:00,STORJ/USD,0.54177,0.54177,0.54177,0.54177,0.0,0.0
1714989600000,2024-05-06 10:00:00,STORJ/USD,0.55503,0.55503,0.54177,0.54177,392.832335,212.82477413294998
1714986000000,2024-05-06 09:00:00,STORJ/USD,0.55665,0.55665,0.55503,0.55503,0.217997,0.12099487491000001
1714982400000,2024-05-06 08:00:00,STORJ/USD,0.54853,0.55665,0.54853,0.55665,164.280352,91.4466579408
1714978800000,2024-05-06 07:00:00,STORJ/USD,0.54168,0.54867,0.54168,0.54853,31.325619,17.18304179007
1714975200000,2024-05-06 06:00:00,STORJ/USD,0.54168,0.54168,0.54168,0.54168,0.0,0.0
1714971600000,2024-05-06 05:00:00,STORJ/USD,0.54168,0.54168,0.54168,0.54168,0.0,0.0
1714968000000,2024-05-06 04:00:00,STORJ/USD,0.54168,0.54168,0.54168,0.54168,0.0,0.0
1714964400000,2024-05-06 03:00:00,STORJ/USD,0.54273,0.54273,0.53922,0.54168,1693.343702,917.25041649936
1714960800000,2024-05-06 02:00:00,STORJ/USD,0.53933,0.54372,0.53933,0.54273,1257.6,682.537248
1714957200000,2024-05-06 01:00:00,STORJ/USD,0.54275,0.54875,0.53933,0.53933,11841.63833,6386.550800518899
1714953600000,2024-05-06 00:00:00,STORJ/USD,0.54275,0.54275,0.54275,0.54275,0.0,0.0
1714950000000,2024-05-05 23:00:00,STORJ/USD,0.54275,0.54275,0.54275,0.54275,0.0,0.0
1714946400000,2024-05-05 22:00:00,STORJ/USD,0.54275,0.54275,0.54275,0.54275,0.0,0.0
1714942800000,2024-05-05 21:00:00,STORJ/USD,0.54275,0.54275,0.54275,0.54275,0.0,0.0
1714939200000,2024-05-05 20:00:00,STORJ/USD,0.54366,0.54366,0.54125,0.54275,104.887526,56.92770473649999
1714935600000,2024-05-05 19:00:00,STORJ/USD,0.54306,0.54366,0.54306,0.54366,131.794721,71.65151801886
1714932000000,2024-05-05 18:00:00,STORJ/USD,0.55094,0.55094,0.54306,0.54306,6.543929,3.55374608274
1714928400000,2024-05-05 17:00:00,STORJ/USD,0.54921,0.55094,0.54921,0.55094,2.91892,1.6081497848
1714924800000,2024-05-05 16:00:00,STORJ/USD,0.54921,0.54921,0.54921,0.54921,0.0,0.0
1714921200000,2024-05-05 15:00:00,STORJ/USD,0.54374,0.54921,0.54374,0.54921,1677.013805,921.03275184405
1714917600000,2024-05-05 14:00:00,STORJ/USD,0.53299,0.54374,0.53299,0.54374,64.969475,35.3265023365
1714914000000,2024-05-05 13:00:00,STORJ/USD,0.53299,0.53299,0.53299,0.53299,0.0,0.0
1714910400000,2024-05-05 12:00:00,STORJ/USD,0.53299,0.53299,0.53299,0.53299,0.0,0.0
1714906800000,2024-05-05 11:00:00,STORJ/USD,0.53299,0.53299,0.53299,0.53299,0.0,0.0
1714903200000,2024-05-05 10:00:00,STORJ/USD,0.53299,0.53299,0.53299,0.53299,0.0,0.0
1714899600000,2024-05-05 09:00:00,STORJ/USD,0.53299,0.53299,0.53299,0.53299,0.0,0.0
